f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,n_accommodates2,f_bathroom,f_number_of_reviews,n_days_since2,n_days_since3,f_minimum_nights,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises,ln_price,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,ln_review_scores_rating
Apt,Centro Storico,Paid,No_parking,Off_premises,100,86,4,1,1,97,282,2.28,3,2,3714,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,1,2,13793796,51230158344,3,100,44781,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.605170185988092,1.3862943611198906,1.9218120556728056,0.6931471805599453,5.645446897643238,8.219864741912652,67.56617637533874,555.3848309334985,4.574710978503383
Apt,Isolotto Legnaia,Free,NA,Off_premises,50,100,3,1,1,95,403,3.49,2,3,3468,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,1,2,12027024,41709719232,2,50,45606,Isolotto Legnaia,Apt,Apartment,Free,NA,Off_premises,3.912023005428146,1.0986122886681098,1.206948960812582,1.0986122886681098,6.0014148779611505,8.151333337900432,66.444235185567,541.6091093794092,4.553876891600541
Apt,Isolotto Legnaia,Free,NA,Off_premises,55,100,5,1,2,95,191,1.62,4,2,3529,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2,2,12453841,43949604889,3,55,52543,Isolotto Legnaia,Apt,Apartment,Free,NA,Off_premises,4.007333185232471,1.6094379124341003,2.5902903939802346,0.6931471805599453,5.2574953720277815,8.16876982367527,66.7288004321877,545.09221134050415,4.553876891600541
Apt,Isolotto Legnaia,Free,No_parking,Off_premises,91,100,4,1,1,95,202,1.81,5,2,3341,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,11162281,37293180821,3,91,52545,Isolotto Legnaia,Apt,Apartment,Free,No_parking,Off_premises,4.51085950651685,1.3862943611198906,1.9218120556728056,0.6931471805599453,5.313205979041787,8.114025442356757,65.83740887921277,534.2064107047771,4.553876891600541
Apt,Centro Storico,No_parking,No_parking,No_parking,60,100,3,1,1,91,77,0.68,3,1,3407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,2,11607649,39547260143,3,60,53454,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.0943445622221,1.0986122886681098,1.206948960812582,0,4.356708826689592,8.133587417660966,66.15524428073277,538.0794624940556,4.51085950651685
Apt,Centro Storico,No_parking,No_parking,No_parking,85,90,4,1,1,97,22,0.18,2,2,3674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,13498276,49592666024,2,85,56143,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.442651256490317,1.3862943611198906,1.9218120556728056,0.6931471805599453,3.1354942159291497,8.20903626577507,67.38827641281031,553.1928049608347,4.574710978503383
Apt,Centro Storico,No_parking,No_parking,No_parking,116,90,6,2,1,93,11,0.09,2,3,3515,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,12355225,43428615875,2,116,56154,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.7535901911063645,1.791759469228055,3.210401995568401,1.0986122886681098,2.4849066497880004,8.164794804244766,66.66387419542232,544.2968536616108,4.532599493153256
Apt,Centro Storico,No_parking,No_parking,No_parking,108,90,6,2,1,86,23,0.19,2,4,3624,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,13133376,47595354624,2,108,57433,Centro Storico,Apt,Apartment,No_parking,No_parking,No_parking,4.68213122712422,1.791759469228055,3.210401995568401,1.3862943611198906,3.1780538303479458,8.19533366716287,67.16349391613322,550.4272428951753,4.454347296253507
Apt,Centro Storico,Paid,No_parking,Off_premises,75,100,4,1,1,89,103,0.86,3,0,3582,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,12830724,45959653368,3,75,57542,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.31748811353631,1.3862943611198906,1.9218120556728056,NA,4.6443908991413725,8.183676582620658,66.97256240893373,548.0817906640915,4.48863636973214
Apt,Centro Storico,Paid,No_parking,Off_premises,115,100,4,1,1,96,69,0.61,3,2,3417,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,11675889,39896512713,3,115,57644,Centro Storico,Apt,Apartment,Paid,No_parking,Off_premises,4.74493212836325,1.3862943611198906,1.9218120556728056,0.6931471805599453,4.248495242049359,8.136518252115291,66.20292926700527,538.661342324486,4.564348191467836
