f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,129,100,2,1,1,97,7,0.09,3,1,2443,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,43369,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,No_parking,Off_premises,100,86,4,1,1,97,282,2.28,3,2,3714,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,100,44781,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Isolotto Legnaia,Free,NA,Off_premises,50,100,3,1,1,95,403,3.49,2,3,3468,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,50,45606,Isolotto Legnaia,Entire home/apt,Apartment,Free,NA,Off_premises
Apt,Isolotto Legnaia,Free,NA,Off_premises,55,100,5,1,2,95,191,1.62,4,2,3529,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,52543,Isolotto Legnaia,Entire home/apt,Apartment,Free,NA,Off_premises
Apt,Isolotto Legnaia,Free,No_parking,Off_premises,91,100,4,1,1,95,202,1.81,5,2,3341,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,91,52545,Isolotto Legnaia,Entire home/apt,Apartment,Free,No_parking,Off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,60,100,3,1,1,91,77,0.68,3,1,3407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,53454,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,85,90,4,1,1,97,22,0.18,2,2,3674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,85,56143,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,116,90,6,2,1,93,11,0.09,2,3,3515,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,116,56154,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,108,90,6,2,1,86,23,0.19,2,4,3624,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,57433,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,No_parking,Off_premises,75,100,4,1,1,89,103,0.86,3,0,3582,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,57542,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
