"f_room_type","f_neighbourhood_cleansed","f_parking_free_vs_paid","f_parking_type","f_parking_on_vs_off_premises","euro_price_day","n_accommodates","n_bedrooms","n_bathrooms","n_review_scores_rating","n_number_of_reviews","n_reviews_per_month","n_minimum_nights","n_beds","n_days_since","d_airconditioning","d_balcony","d_bathtub","d_bedlinens","d_breakfast","d_changingtable","d_cleaningproducts","d_complimentarybreakfastbuffet","d_conditioner","d_dedicatedworkspace","d_dedicatedworkspacetable","d_diningareafor12people","d_dryer","d_espressomachine","d_gasstove","d_hairdryer","d_hangers","d_hottub","d_inductionstove","d_ironingboard","d_laundromatnearby","d_luggagestorage","d_nespressomachine","d_piano","d_pool","d_portableairconditioning","d_roomdarkeningshades","d_samsungrefrigerator","d_sunloungers","d_valetparkingu2014u20ac30day","d_wifi","d_windowacunit","n_accommodates2","f_bathroom","f_number_of_reviews","n_days_since2","n_days_since3","f_minimum_nights","price","id","neighbourhood_cleansed","room_type","property_type","parking_free_vs_paid","parking_type","parking_on_vs_off_premises","ln_price","ln_accommodates","ln_accommodates2","ln_beds","ln_number_of_reviews","ln_days_since","ln_days_since2","ln_days_since3","ln_review_scores_rating","flag_days_since","flag_review_scores_rating","flag_reviews_per_month"
"Apt","Centro Storico","No_parking","No_parking","No_parking",129,2,1,1,97,7,0.09,3,1,2443,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,1,5968249,14580432307,3,129,43369,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.85981240436167,0.693147180559945,0.480453013918201,0,2.07944154167984,7.80098207125774,60.8553212760847,474.731270215367,4.57471097850338,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",100,4,1,1,97,282,2.28,3,2,3714,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,16,1,2,13793796,51230158344,3,100,44781,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.60517018598809,1.38629436111989,1.92181205567281,0.693147180559945,5.64544689764324,8.21986474191265,67.5661763753387,555.384830933499,4.57471097850338,0,0,0
"Apt","Isolotto Legnaia","Free","Unknown","Off_premises",50,3,1,1,95,403,3.49,2,3,3468,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9,1,2,12027024,41709719232,2,50,45606,"Isolotto Legnaia","Apt","Apartment","Free","Unknown","Off_premises",3.91202300542815,1.09861228866811,1.20694896081258,1.09861228866811,6.00141487796115,8.15133333790043,66.444235185567,541.609109379409,4.55387689160054,0,0,0
"Apt","Isolotto Legnaia","Free","Unknown","Off_premises",55,5,1,2,95,191,1.62,4,2,3529,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,2,2,12453841,43949604889,3,55,52543,"Isolotto Legnaia","Apt","Apartment","Free","Unknown","Off_premises",4.00733318523247,1.6094379124341,2.59029039398023,0.693147180559945,5.25749537202778,8.16876982367527,66.7288004321877,545.092211340504,4.55387689160054,0,0,0
"Apt","Isolotto Legnaia","Free","No_parking","Off_premises",91,4,1,1,95,202,1.81,5,2,3341,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,11162281,37293180821,3,91,52545,"Isolotto Legnaia","Apt","Apartment","Free","No_parking","Off_premises",4.51085950651685,1.38629436111989,1.92181205567281,0.693147180559945,5.31320597904179,8.11402544235676,65.8374088792128,534.206410704777,4.55387689160054,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",60,3,1,1,91,77,0.68,3,1,3407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,2,11607649,39547260143,3,60,53454,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.0943445622221,1.09861228866811,1.20694896081258,0,4.35670882668959,8.13358741766097,66.1552442807328,538.079462494056,4.51085950651685,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",85,4,1,1,97,22,0.18,2,2,3674,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,1,13498276,49592666024,2,85,56143,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.44265125649032,1.38629436111989,1.92181205567281,0.693147180559945,3.13549421592915,8.20903626577507,67.3882764128103,553.192804960835,4.57471097850338,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",116,6,2,1,93,11,0.09,2,3,3515,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,12355225,43428615875,2,116,56154,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.75359019110636,1.79175946922805,3.2104019955684,1.09861228866811,2.484906649788,8.16479480424477,66.6638741954223,544.296853661611,4.53259949315326,0,0,0
"Apt","Centro Storico","No_parking","No_parking","No_parking",108,6,2,1,86,23,0.19,2,4,3624,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36,1,1,13133376,47595354624,2,108,57433,"Centro Storico","Apt","Apartment","No_parking","No_parking","No_parking",4.68213122712422,1.79175946922805,3.2104019955684,1.38629436111989,3.17805383034795,8.19533366716287,67.1634939161332,550.427242895175,4.45434729625351,0,0,0
"Apt","Centro Storico","Paid","No_parking","Off_premises",75,4,1,1,89,103,0.86,3,0,3582,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,2,12830724,45959653368,3,75,57542,"Centro Storico","Apt","Apartment","Paid","No_parking","Off_premises",4.31748811353631,1.38629436111989,1.92181205567281,0,4.64439089914137,8.18367658262066,66.9725624089337,548.081790664091,4.48863636973214,0,0,0
